Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
-1.032	5.0892e-11	-0.016441	-0.032881	-0.049322
-1.02	5.0892e-11	-0.016437	-0.032875	-0.049312
-1.008	5.0892e-11	-0.016434	-0.032868	-0.049303
-0.996	5.0892e-11	-0.016431	-0.032862	-0.049293
-0.984	5.0892e-11	-0.016428	-0.032855	-0.049283
-0.972	5.0892e-11	-0.016424	-0.032849	-0.049273
-0.96	5.0892e-11	-0.016421	-0.032842	-0.049263
-0.948	5.0892e-11	-0.016418	-0.032835	-0.049253
-0.936	5.0892e-11	-0.016414	-0.032828	-0.049243
-0.924	5.0892e-11	-0.016411	-0.032821	-0.049232
-0.912	5.0892e-11	-0.016407	-0.032814	-0.049222
-0.9	5.0892e-11	-0.016403	-0.032807	-0.049211
-0.888	5.0892e-11	-0.0164	-0.0328	-0.0492
-0.876	5.0892e-11	-0.016396	-0.032792	-0.049188
-0.864	5.0892e-11	-0.016392	-0.032785	-0.049177
-0.852	5.0892e-11	-0.016389	-0.032777	-0.049166
-0.84	5.0892e-11	-0.016385	-0.032769	-0.049154
-0.828	5.0892e-11	-0.016381	-0.032761	-0.049142
-0.816	5.0892e-11	-0.016377	-0.032753	-0.04913
-0.804	5.0892e-11	-0.016373	-0.032745	-0.049118
-0.792	5.0892e-11	-0.016369	-0.032737	-0.049106
-0.78	5.0892e-11	-0.016364	-0.032729	-0.049094
-0.768	5.0892e-11	-0.01636	-0.032721	-0.049081
-0.756	5.0892e-11	-0.016356	-0.032712	-0.049068
-0.744	5.0892e-11	-0.016351	-0.032703	-0.049055
-0.732	5.0892e-11	-0.016347	-0.032694	-0.049041
-0.72	5.0892e-11	-0.016343	-0.032685	-0.049028
-0.708	5.0892e-11	-0.016338	-0.032676	-0.049014
-0.696	5.0892e-11	-0.016333	-0.032667	-0.049
-0.684	5.0892e-11	-0.016329	-0.032657	-0.048986
-0.672	5.0892e-11	-0.016324	-0.032648	-0.048972
-0.66	5.0892e-11	-0.016319	-0.032638	-0.048957
-0.648	5.0892e-11	-0.016314	-0.032628	-0.048943
-0.636	5.0892e-11	-0.016309	-0.032618	-0.048927
-0.624	5.0892e-11	-0.016304	-0.032608	-0.048912
-0.612	5.0892e-11	-0.016299	-0.032598	-0.048896
-0.6	5.0892e-11	-0.016293	-0.032587	-0.04888
-0.588	5.0892e-11	-0.016288	-0.032576	-0.048864
-0.576	5.0892e-11	-0.016282	-0.032565	-0.048847
-0.564	5.0892e-11	-0.016277	-0.032554	-0.04883
-0.552	5.0892e-11	-0.016271	-0.032542	-0.048813
-0.54	5.0892e-11	-0.016266	-0.032531	-0.048796
-0.528	5.0892e-11	-0.01626	-0.032519	-0.048778
-0.516	5.0892e-11	-0.016254	-0.032507	-0.048761
-0.504	5.0892e-11	-0.016247	-0.032495	-0.048742
-0.492	5.0892e-11	-0.016241	-0.032483	-0.048724
-0.48	5.0892e-11	-0.016235	-0.03247	-0.048705
-0.468	5.0892e-11	-0.016228	-0.032457	-0.048685
-0.456	5.0892e-11	-0.016222	-0.032444	-0.048665
-0.444	5.0892e-11	-0.016215	-0.03243	-0.048645
-0.432	5.0892e-11	-0.016208	-0.032416	-0.048625
-0.42	5.0892e-11	-0.016201	-0.032402	-0.048604
-0.408	5.0892e-11	-0.016194	-0.032388	-0.048582
-0.396	5.0892e-11	-0.016187	-0.032374	-0.048561
-0.384	5.0892e-11	-0.016179	-0.032359	-0.048538
-0.372	5.0892e-11	-0.016172	-0.032344	-0.048516
-0.36	5.0892e-11	-0.016164	-0.032329	-0.048493
-0.348	5.0892e-11	-0.016156	-0.032313	-0.048469
-0.336	5.0892e-11	-0.016148	-0.032296	-0.048445
-0.324	5.0892e-11	-0.01614	-0.03228	-0.048421
-0.312	5.0892e-11	-0.016132	-0.032263	-0.048395
-0.3	5.0892e-11	-0.016123	-0.032246	-0.04837
-0.288	5.0892e-11	-0.016114	-0.032228	-0.048343
-0.276	5.0892e-11	-0.016105	-0.03221	-0.048316
-0.264	5.0893e-11	-0.016096	-0.032192	-0.048289
-0.252	5.0893e-11	-0.016087	-0.032173	-0.04826
-0.24	5.0893e-11	-0.016077	-0.032154	-0.048232
-0.228	5.0893e-11	-0.016067	-0.032135	-0.048202
-0.216	5.0893e-11	-0.016057	-0.032115	-0.048172
-0.204	5.0893e-11	-0.016047	-0.032094	-0.048141
-0.192	5.0893e-11	-0.016037	-0.032073	-0.04811
-0.18	5.0893e-11	-0.016026	-0.032051	-0.048078
-0.168	5.0893e-11	-0.016015	-0.032029	-0.048045
-0.156	5.0893e-11	-0.016003	-0.032006	-0.04801
-0.144	5.0893e-11	-0.015992	-0.031983	-0.047975
-0.132	5.0893e-11	-0.01598	-0.031959	-0.047939
-0.12	5.0893e-11	-0.015967	-0.031935	-0.047902
-0.108	5.0893e-11	-0.015955	-0.031909	-0.047864
-0.096	5.0893e-11	-0.015942	-0.031883	-0.047825
-0.084	5.0893e-11	-0.015929	-0.031857	-0.047786
-0.072	5.0893e-11	-0.015915	-0.03183	-0.047745
-0.06	5.0893e-11	-0.015901	-0.031802	-0.047703
-0.048	5.0893e-11	-0.015886	-0.031773	-0.04766
-0.036	5.0893e-11	-0.015872	-0.031744	-0.047616
-0.024	5.0893e-11	-0.015856	-0.031714	-0.047571
-0.012	5.0893e-11	-0.015841	-0.031682	-0.047524
0	5.0893e-11	-0.015825	-0.03165	-0.047475
